method,method_label,series_win_rate,leading_round_win_rate,tied_round_win_rate,trailing_round_win_rate,bo3_component,leading_component,tied_component,trailing_resilience_component,composite_score,score_note
optimal_dp,最优DP,0.6578,1.0,0.625999238675295,0.13663259817105972,0.25,0.2,0.35,0.15181399796784414,0.9518139979678442,综合指数，不等同原始胜率；落后局按0.18现实资源目标缩放。
exhaustive_static,穷举静态,0.6196,1.0,0.6090033418517791,0.04473007712082262,0.23548190939495287,0.2,0.3437922091098753,0.049700085689802914,0.8289742041946311,综合指数，不等同原始胜率；落后局按0.18现实资源目标缩放。
all_in_first,首局全投,0.616,1.0,0.6072555205047319,0.036753445635528334,0.23411371237458192,0.2,0.34280553576880024,0.040837161817253706,0.8177564099606359,综合指数，不等同原始胜率；落后局按0.18现实资源目标缩放。
fixed_rule,固定规则,0.4544,0.8597380650612589,0.4737991266375546,0.06228636536270414,0.17269686834904227,0.1719476130122518,0.26746724890829693,0.06920707262522684,0.6813188028948179,综合指数，不等同原始胜率；落后局按0.18现实资源目标缩放。
